No,accessions,strain,anastomosis_group(AG),host_common,host_scientific,host_groups,host_group_summarized,host_solanaceae,country,state_province,collection_date,year,continent,region,Manuscript
93,DQ447867,AG-1-IE,AG1,Andean common bean,Phaseolus vulgaris var. aborigineus,Fabaceae,Fabaceae,Non_solanaceae,El Salvador,NA,NA,1994,North America,Latin America & Caribbean,"Godoy-Lutz, G. et al., 2008 (https://link.springer.com/article/10.1007/s10327-007-0060-6)"
94,DQ447871,AG-1-IE,AG1,Andean common bean,Phaseolus vulgaris var. aborigineus,Fabaceae,Fabaceae,Non_solanaceae,Guatemala,NA,NA,1994,North America,Latin America & Caribbean,"Godoy-Lutz, G. et al., 2008 (https://link.springer.com/article/10.1007/s10327-007-0060-6)"
95,DQ447870,AG-1-IE,AG1,Andean common bean,Phaseolus vulgaris var. aborigineus,Fabaceae,Fabaceae,Non_solanaceae,Guatemala,NA,NA,1994,North America,Latin America & Caribbean,"Godoy-Lutz, G. et al., 2008 (https://link.springer.com/article/10.1007/s10327-007-0060-6)"
96,DQ447869,AG-1-IE,AG1,Andean common bean,Phaseolus vulgaris var. aborigineus,Fabaceae,Fabaceae,Non_solanaceae,Guatemala,NA,NA,1994,North America,Latin America & Caribbean,"Godoy-Lutz, G. et al., 2008 (https://link.springer.com/article/10.1007/s10327-007-0060-6)"
97,DQ447860,AG-1-IE,AG1,Andean common bean,Phaseolus vulgaris var. aborigineus,Fabaceae,Fabaceae,Non_solanaceae,Honduras,NA,NA,2003,North America,Latin America & Caribbean,"Godoy-Lutz, G. et al., 2008 (https://link.springer.com/article/10.1007/s10327-007-0060-6)"
98,DQ447861,AG-1-IE,AG1,Andean common bean,Phaseolus vulgaris,Fabaceae,Fabaceae,Non_solanaceae,Honduras,NA,NA,2003,North America,Latin America & Caribbean,"Godoy-Lutz, G. et al., 2008 (https://link.springer.com/article/10.1007/s10327-007-0060-6)"
99,DQ447884,AG-1-IF,AG1,Andean common bean,Phaseolus vulgaris var. aborigineus,Fabaceae,Fabaceae,Non_solanaceae,Honduras,NA,NA,2001,North America,Latin America & Caribbean,"Godoy-Lutz, G. et al., 2008 (https://link.springer.com/article/10.1007/s10327-007-0060-6)"
100,DQ447879,AG-1-IF,AG1,Andean common bean,Phaseolus vulgaris var. aborigineus,Fabaceae,Fabaceae,Non_solanaceae,Honduras,NA,NA,1995,North America,Latin America & Caribbean,"Godoy-Lutz, G. et al., 2008 (https://link.springer.com/article/10.1007/s10327-007-0060-6)"
101,DQ447881,AG-1-IF,AG1,Andean common bean,Phaseolus vulgaris var. aborigineus,Fabaceae,Fabaceae,Non_solanaceae,Honduras,NA,NA,1995,North America,Latin America & Caribbean,"Godoy-Lutz, G. et al., 2008 (https://link.springer.com/article/10.1007/s10327-007-0060-6)"
102,DQ447880,AG-1-IF,AG1,Andean common bean,Phaseolus vulgaris var. aborigineus,Fabaceae,Fabaceae,Non_solanaceae,Honduras,NA,NA,1995,North America,Latin America & Caribbean,"Godoy-Lutz, G. et al., 2008 (https://link.springer.com/article/10.1007/s10327-007-0060-6)"
