No,accessions,strain,strain_summarized,anastomosis_group.AG.,host,host_common,host_scientific,host_families,host_group_summarized,country,state_province,collection_date,year,continent,region,Latitude,Longitude,manuscript
1748,KJ777577,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1749,KJ777578,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1750,KJ777581,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1751,KJ777582,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1752,KJ777583,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1753,KJ777584,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1754,KJ777585,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1755,KJ777586,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1756,KJ777587,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1757,KJ777588,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
